regime,N,last_value_mae,ridge_mae,ridge_beats,status
LOW_VOL|TREND_UP,417,0.008006,0.008044,False,OK
LOW_VOL|TREND_DOWN,203,0.008965,0.00893,True,OK
HIGH_VOL|TREND_UP,267,0.011171,0.011315,False,OK
HIGH_VOL|TREND_DOWN,207,0.014987,0.014977,True,OK
