target,horizon,model,N,kind,dir_acc,dir_bal,dir_MCC,MAE_RETURN,MASE,BIAS
OSE_MICRO_CONTINUOUS_BAR,1,LAST_VALUE,831,PRICE,0.51985559566787,0.5,0.0,0.0114023623818385,0.9999999999122988,-0.0009901660505004
OSE_MICRO_CONTINUOUS_BAR,1,DRIFT,831,PRICE,0.5186522262334536,0.4988425925925926,-0.0333584242915969,0.0114076667230779,1.0004651966023594,-0.0003376306414584
OSE_MICRO_CONTINUOUS_BAR,1,MA,831,PRICE,0.5415162454873647,0.547827903091061,0.1006748302863707,0.0260871569804475,2.287872995486507,-0.0082417039617995
OSE_MICRO_CONTINUOUS_BAR,1,SN,831,PRICE,0.51985559566787,0.5,0.0,0.0114023623818385,0.9999999999122988,-0.0009901660505004
OSE_MICRO_CONTINUOUS_BAR,1,RIDGE,831,PRICE,0.4789410348977136,0.4797932330827067,-0.0404217424617778,0.0123110621543601,1.0796939915617183,-0.0011595985228861
OSE_MICRO_CONTINUOUS_BAR,1,VAR,831,PRICE,0.6221419975932612,0.6190563213589529,0.2412255793665015,0.010927431792109,0.9583480532556712,-0.0004773914163129
OSE_MICRO_CONTINUOUS_BAR,1,KALMAN,831,PRICE,0.5354993983152828,0.5419451406293512,0.0885175215385414,0.0220983813375255,1.938052887249516,-0.0078277885215813
OSE_MICRO_CONTINUOUS_BAR,1,ZERO_RETURN,831,RETURN,0.51985559566787,0.5,0.0,0.0114023623818385,0.9999999999122988,-0.0009901660505004
OSE_MICRO_CONTINUOUS_BAR,1,HIST_MEAN,831,RETURN,0.5186522262334536,0.4988425925925926,-0.0333584242915969,0.0114076667230779,1.0004651966023597,-0.0003376306414584
OSE_MICRO_CONTINUOUS_BAR,1,ALWAYS_UP,831,DIRECTION,0.51985559566787,0.5,0.0,,,
OSE_MICRO_CONTINUOUS_BAR,1,PREV_DIR,831,DIRECTION,0.3826714801444043,0.3817442912837649,-0.2364894663982743,,,
OSE_MICRO_CONTINUOUS_BAR,3,LAST_VALUE,829,PRICE,0.5500603136308806,0.5,0.0,0.017238434502872,0.9999999999419902,-0.0028055065284556
OSE_MICRO_CONTINUOUS_BAR,3,DRIFT,829,PRICE,0.548854041013269,0.4989035087719298,-0.0314309006723911,0.017178709201704,0.9965353407146944,-0.000848097083193
OSE_MICRO_CONTINUOUS_BAR,3,MA,829,PRICE,0.5235223160434258,0.5398029255444241,0.0835203466121354,0.0295470801242105,1.714023400302025,-0.0100975138791491
OSE_MICRO_CONTINUOUS_BAR,3,SN,829,PRICE,0.5319662243667069,0.5357667795494098,0.071342965130708,0.0219399662377473,1.2727354234411048,-0.0042644633944358
OSE_MICRO_CONTINUOUS_BAR,3,RIDGE,829,PRICE,0.5042219541616405,0.5090835332298576,0.0181584210405898,0.017817702653584,1.0336032920844365,-0.0034414989168053
OSE_MICRO_CONTINUOUS_BAR,3,VAR,829,PRICE,0.5657418576598311,0.5408494426414562,0.0942071233895665,0.0170493897559141,0.989033531559062,-0.000956494519265
OSE_MICRO_CONTINUOUS_BAR,3,KALMAN,829,PRICE,0.5162846803377563,0.5327359954846903,0.0688095861518921,0.0261203683679773,1.515240166507591,-0.009664345098434
OSE_MICRO_CONTINUOUS_BAR,3,ZERO_RETURN,829,RETURN,0.5500603136308806,0.5,0.0,0.017238434502872,0.9999999999419902,-0.0028055065284556
OSE_MICRO_CONTINUOUS_BAR,3,HIST_MEAN,829,RETURN,0.548854041013269,0.4989035087719298,-0.0314309006723911,0.0172001893062432,0.9977813996033008,-0.0021535059868251
OSE_MICRO_CONTINUOUS_BAR,3,ALWAYS_UP,829,DIRECTION,0.5500603136308806,0.5,0.0,,,
OSE_MICRO_CONTINUOUS_BAR,3,PREV_DIR,829,DIRECTION,0.4620024125452352,0.4597267296928649,-0.0801979107015701,,,
OSE_MICRO_CONTINUOUS_BAR,5,LAST_VALUE,827,PRICE,0.5828295042321644,0.5,0.0,0.0220490044786203,0.9999999999546464,-0.004653036775892
OSE_MICRO_CONTINUOUS_BAR,5,DRIFT,827,PRICE,0.5816203143893591,0.4989626556016597,-0.0294371665319868,0.0218766317157611,0.9921822881382908,-0.0013910665565867
OSE_MICRO_CONTINUOUS_BAR,5,MA,827,PRICE,0.5102781136638452,0.5378585603463828,0.0788274859804631,0.032751832441597,1.4854109387056056,-0.0119818297143015
OSE_MICRO_CONTINUOUS_BAR,5,SN,827,PRICE,0.5042321644498187,0.5153707378675807,0.0305737061962831,0.0301023052616717,1.3652455506322276,-0.0076185934975277
OSE_MICRO_CONTINUOUS_BAR,5,RIDGE,827,PRICE,0.5006045949214026,0.5073155331048169,0.0144736852837669,0.0223823147208326,1.0151167932103409,-0.005212873013917
OSE_MICRO_CONTINUOUS_BAR,5,VAR,827,PRICE,0.5671100362756953,0.510406518732335,0.028284334595264,0.021770749140521,0.9873801404795176,-0.0014914759106906
OSE_MICRO_CONTINUOUS_BAR,5,KALMAN,827,PRICE,0.5042321644498187,0.5318479764267244,0.0663700624983021,0.0297476331736351,1.349159922441419,-0.0115320816352407
OSE_MICRO_CONTINUOUS_BAR,5,ZERO_RETURN,827,RETURN,0.5828295042321644,0.5,0.0,0.0220490044786203,0.9999999999546464,-0.004653036775892
OSE_MICRO_CONTINUOUS_BAR,5,HIST_MEAN,827,RETURN,0.5816203143893591,0.4989626556016597,-0.0294371665319868,0.0219772670877414,0.996746456650898,-0.0040015803102791
OSE_MICRO_CONTINUOUS_BAR,5,ALWAYS_UP,827,DIRECTION,0.5828295042321644,0.5,0.0,,,
OSE_MICRO_CONTINUOUS_BAR,5,PREV_DIR,827,DIRECTION,0.4667472793228537,0.4626165133201034,-0.0737857820788413,,,
OSE_MICRO_CONTINUOUS_BAR,1,xgboost,831,DIRECTION,0.5643802647412756,,0.12643393170438574,,,
OSE_MICRO_CONTINUOUS_BAR,1,lightgbm,831,DIRECTION,0.5571600481347774,,0.11226225155597783,,,
OSE_MICRO_CONTINUOUS_BAR,3,xgboost,829,DIRECTION,0.53437876960193,,0.04719026215012472,,,
OSE_MICRO_CONTINUOUS_BAR,3,lightgbm,829,DIRECTION,0.5355850422195416,,0.048581183195864346,,,
OSE_MICRO_CONTINUOUS_BAR,5,xgboost,827,DIRECTION,0.5646916565900847,,0.08884553095253955,,,
OSE_MICRO_CONTINUOUS_BAR,5,lightgbm,827,DIRECTION,0.5405078597339782,,0.02502709019978252,,,
OSE_MICRO_CONTINUOUS_BAR,1,chronos-2,167,PRICE,0.49101796407185627,,-0.011346321775157025,,1.0122326884986952,
OSE_MICRO_CONTINUOUS_BAR,1,timesfm-3.0,167,PRICE,0.5449101796407185,,0.0880889326883018,,0.9948314502118905,
OSE_MICRO_CONTINUOUS_BAR,3,chronos-2,166,PRICE,0.5180722891566265,,0.027708852060082143,,1.0190922754556255,
OSE_MICRO_CONTINUOUS_BAR,3,timesfm-3.0,166,PRICE,0.5120481927710844,,0.016397131637119856,,1.0251213630246796,
OSE_MICRO_CONTINUOUS_BAR,5,chronos-2,166,PRICE,0.5240963855421686,,0.02542856090878819,,1.0364695302778892,
OSE_MICRO_CONTINUOUS_BAR,5,timesfm-3.0,166,PRICE,0.4397590361445783,,-0.1323260766201009,,1.081991313432848,
